"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","152","174","8","48.667114","0","174"
"/InterchangeAssets/gltf/M_Default.M_Default","0","450","526","28","506.054871","0","544"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","76","56","4","52.325878","0","36"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","158","176","10","34.805965","0","176"
"/Game/FogArea/Materials/M_FogArea.M_FogArea","0","224","168","8","77.073044","0","112"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","0.000000","0","100"
"/Game/materials/MasterMaterial/MasterMaterial.MasterMaterial","0","3","3","1","1.453952","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","90","90","1","3.237409","0","90"
"/Game/Props/Cocina/heladera/Mat.Mat","0","3","3","1","1.117481","0","3"
"/Game/Props/Cocina/propsVarios/DefaultMaterial.DefaultMaterial","0","3","3","1","1.522285","0","3"
"/Game/Props/Banio/baniadera/lambert1.lambert1","0","3","3","1","0.554104","0","3"
"/Game/Props/Banio/baniadera/Material_001.Material_001","0","3","3","1","0.653120","0","3"
"/Game/Props/Banio/toalla/towels1_u1_v1.towels1_u1_v1","0","3","3","1","3.504058","0","3"
"/Game/Props/decalbichote/decal_mm.decal_mm","0","11","11","1","7.199013","0","11"
"/Game/Props/livingRoom/tv/back.back","0","3","3","1","1.504884","0","3"
"/Game/Props/livingRoom/tv/screenReflect.screenReflect","0","3","3","1","1.446565","0","3"
